2023-03-10 22:46:40,220 [INFO   ] [APP] exchange started with arguments={rtg.py, run, autotrader.py}
2023-03-10 22:46:40,221 [INFO   ] [APP] configuration={"Engine":{"MarketDataFile":"data/market_data1.csv","MarketEventInterval":0.05,"MarketOpenDelay":5.0,"MatchEventsFile":"match_events.csv","ScoreBoardFile":"score_board.csv","Speed":1.0,"TickInterval":0.25},"Execution":{"Host":"127.0.0.1","Port":12345},"Fees":{"Maker":-0.0001,"Taker":0.0002},"Hud":{"Host":"127.0.0.1","Port":12347},"Information":{"Type":"mmap","Name":"info.dat"},"Instrument":{"EtfClamp":0.002,"TickSize":1.0},"Limits":{"ActiveOrderCountLimit":10,"ActiveVolumeLimit":200,"MessageFrequencyInterval":1.0,"MessageFrequencyLimit":50,"PositionLimit":100},"Traders":{"TraderOne":"secret","TraderTwo":"secret"}}
2023-03-10 22:46:40,222 [INFO   ] [CONTROLLER] starting the match
2023-03-10 22:46:40,222 [INFO   ] [EXECUTION] starting execution server: host=127.0.0.1 port=12345
2023-03-10 22:46:40,222 [INFO   ] [INFORMATION] starting information publisher: type=mmap name=info.dat
2023-03-10 22:46:40,247 [INFO   ] [HEADS_UP] starting heads-up display server: host=127.0.0.1 port=12347
2023-03-10 22:46:40,247 [INFO   ] [INFORMATION] information channel established
2023-03-10 22:46:42,044 [INFO   ] [CONNECTION] fd=26 connection established: peer=127.0.0.1:57313
2023-03-10 22:46:42,049 [INFO   ] [EXECUTION] fd=26 'TraderOne' is ready!
2023-03-10 22:46:43,877 [INFO   ] [CONNECTION] fd=27 connection established: peer=127.0.0.1:57316
2023-03-10 22:46:45,269 [INFO   ] [CONTROLLER] market open
2023-03-10 22:46:45,279 [INFO   ] [CONNECTION] fd=26 connection lost
2023-03-10 22:46:45,280 [WARNING] [EXECUTION] fd=26 lost connection to auto-trader:
2023-03-10 22:48:09,169 [INFO   ] [APP] SIGINT signal received - shutting down...
2023-03-10 22:48:09,170 [INFO   ] [APP] closing event loop
2023-03-10 22:48:18,204 [INFO   ] [APP] exchange started with arguments={rtg.py, run, autotrader.py}
2023-03-10 22:48:18,205 [INFO   ] [APP] configuration={"Engine":{"MarketDataFile":"data/market_data1.csv","MarketEventInterval":0.05,"MarketOpenDelay":5.0,"MatchEventsFile":"match_events.csv","ScoreBoardFile":"score_board.csv","Speed":1.0,"TickInterval":0.25},"Execution":{"Host":"127.0.0.1","Port":12345},"Fees":{"Maker":-0.0001,"Taker":0.0002},"Hud":{"Host":"127.0.0.1","Port":12347},"Information":{"Type":"mmap","Name":"info.dat"},"Instrument":{"EtfClamp":0.002,"TickSize":1.0},"Limits":{"ActiveOrderCountLimit":10,"ActiveVolumeLimit":200,"MessageFrequencyInterval":1.0,"MessageFrequencyLimit":50,"PositionLimit":100},"Traders":{"TraderOne":"secret","TraderTwo":"secret"}}
2023-03-10 22:48:18,206 [INFO   ] [CONTROLLER] starting the match
2023-03-10 22:48:18,206 [INFO   ] [EXECUTION] starting execution server: host=127.0.0.1 port=12345
2023-03-10 22:48:18,206 [INFO   ] [INFORMATION] starting information publisher: type=mmap name=info.dat
2023-03-10 22:48:18,212 [INFO   ] [HEADS_UP] starting heads-up display server: host=127.0.0.1 port=12347
2023-03-10 22:48:18,212 [INFO   ] [INFORMATION] information channel established
2023-03-10 22:48:18,983 [INFO   ] [CONNECTION] fd=26 connection established: peer=127.0.0.1:57363
2023-03-10 22:48:18,983 [INFO   ] [EXECUTION] fd=26 'TraderOne' is ready!
2023-03-10 22:48:20,533 [INFO   ] [CONNECTION] fd=27 connection established: peer=127.0.0.1:57365
2023-03-10 22:48:23,219 [INFO   ] [CONTROLLER] market open
2023-03-10 22:48:23,226 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=0.006826 client_order_id=1 message='0 is not a valid price'
2023-03-10 22:48:45,490 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=22.270775 client_order_id=30 message='%d is not a valid volume'
2023-03-10 22:48:45,735 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=22.515647 client_order_id=32 message='%d is not a valid volume'
2023-03-10 22:48:45,966 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=22.744565 client_order_id=34 message='%d is not a valid volume'
2023-03-10 22:48:47,973 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=24.753710 client_order_id=36 message='%d is not a valid volume'
2023-03-10 22:48:48,222 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=25.002795 client_order_id=38 message='%d is not a valid volume'
2023-03-10 22:48:48,450 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=25.230168 client_order_id=40 message='%d is not a valid volume'
2023-03-10 22:48:50,518 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=27.299095 client_order_id=42 message='%d is not a valid volume'
2023-03-10 22:48:54,006 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=30.786796 client_order_id=44 message='%d is not a valid volume'
2023-03-10 22:48:54,219 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=30.997065 client_order_id=46 message='%d is not a valid volume'
2023-03-10 22:48:54,429 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=31.209529 client_order_id=48 message='%d is not a valid volume'
2023-03-10 22:49:19,975 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=56.755377 client_order_id=50 message='%d is not a valid volume'
2023-03-10 22:49:20,258 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=57.038681 client_order_id=52 message='%d is not a valid volume'
2023-03-10 22:49:20,460 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=57.240100 client_order_id=54 message='%d is not a valid volume'
2023-03-10 22:49:20,696 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=57.476793 client_order_id=56 message='%d is not a valid volume'
2023-03-10 22:49:20,982 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=57.762675 client_order_id=58 message='%d is not a valid volume'
2023-03-10 22:49:21,185 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=57.965788 client_order_id=60 message='%d is not a valid volume'
2023-03-10 22:49:21,489 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=58.269662 client_order_id=62 message='%d is not a valid volume'
2023-03-10 22:49:21,962 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=58.742575 client_order_id=64 message='%d is not a valid volume'
2023-03-10 22:49:22,269 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=59.050032 client_order_id=66 message='%d is not a valid volume'
2023-03-10 22:49:22,486 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=59.265243 client_order_id=68 message='%d is not a valid volume'
2023-03-10 22:49:22,680 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=59.460737 client_order_id=70 message='%d is not a valid volume'
2023-03-10 22:49:22,930 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=59.710646 client_order_id=72 message='%d is not a valid volume'
2023-03-10 22:49:23,190 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=59.970535 client_order_id=74 message='%d is not a valid volume'
2023-03-10 22:49:23,477 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=60.256540 client_order_id=76 message='%d is not a valid volume'
2023-03-10 22:49:23,686 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=60.466622 client_order_id=78 message='%d is not a valid volume'
2023-03-10 22:49:23,983 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=60.763584 client_order_id=80 message='%d is not a valid volume'
2023-03-10 22:49:24,206 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=60.984702 client_order_id=82 message='%d is not a valid volume'
2023-03-10 22:49:24,485 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=61.265631 client_order_id=84 message='%d is not a valid volume'
2023-03-10 22:49:24,773 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=61.554193 client_order_id=86 message='%d is not a valid volume'
2023-03-10 22:49:24,969 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=61.749152 client_order_id=88 message='%d is not a valid volume'
2023-03-10 22:49:25,179 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=61.959426 client_order_id=90 message='%d is not a valid volume'
2023-03-10 22:49:25,489 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=62.268912 client_order_id=92 message='%d is not a valid volume'
2023-03-10 22:49:25,729 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=62.509528 client_order_id=94 message='%d is not a valid volume'
2023-03-10 22:49:26,271 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=63.050297 client_order_id=96 message='%d is not a valid volume'
2023-03-10 22:49:26,494 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=63.274362 client_order_id=98 message='%d is not a valid volume'
2023-03-10 22:49:31,438 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=68.218932 client_order_id=100 message='%d is not a valid volume'
2023-03-10 22:49:42,770 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=79.549582 client_order_id=102 message='%d is not a valid volume'
2023-03-10 22:49:42,985 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=79.764997 client_order_id=104 message='%d is not a valid volume'
2023-03-10 22:49:43,178 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=79.959066 client_order_id=106 message='%d is not a valid volume'
2023-03-10 22:49:43,495 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=80.275138 client_order_id=108 message='%d is not a valid volume'
2023-03-10 22:49:43,716 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=80.496126 client_order_id=110 message='%d is not a valid volume'
2023-03-10 22:49:44,012 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=80.791909 client_order_id=112 message='%d is not a valid volume'
2023-03-10 22:49:44,197 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=80.977461 client_order_id=114 message='%d is not a valid volume'
2023-03-10 22:49:44,454 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=81.232525 client_order_id=116 message='%d is not a valid volume'
2023-03-10 22:49:44,769 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=81.548561 client_order_id=118 message='%d is not a valid volume'
2023-03-10 22:49:44,934 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=81.714499 client_order_id=120 message='%d is not a valid volume'
2023-03-10 22:49:45,231 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=82.011371 client_order_id=122 message='%d is not a valid volume'
2023-03-10 22:49:45,525 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=82.305269 client_order_id=124 message='%d is not a valid volume'
2023-03-10 22:49:45,765 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=82.545609 client_order_id=126 message='%d is not a valid volume'
2023-03-10 22:49:46,018 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=82.799053 client_order_id=128 message='%d is not a valid volume'
2023-03-10 22:49:46,185 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=82.965842 client_order_id=130 message='%d is not a valid volume'
2023-03-10 22:49:46,520 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=83.300662 client_order_id=132 message='%d is not a valid volume'
2023-03-10 22:49:46,720 [INFO   ] [COMPETITOR] 'TraderOne' sent error message: time=83.500619 client_order_id=134 message='%d is not a valid volume'
